city,date,temperature_2m,wind_speed_10m,precipitation
London,2026-05-30 16:00:00+00:00,28.4065,10.08,0.0
London,2026-05-30 17:00:00+00:00,27.9065,11.159999,0.0
London,2026-05-30 18:00:00+00:00,26.956501,10.08,0.0
London,2026-05-30 19:00:00+00:00,25.3565,11.879999,0.0
London,2026-05-30 20:00:00+00:00,23.9065,8.64,0.0
London,2026-05-30 21:00:00+00:00,22.6065,0.35999998,0.0
London,2026-05-30 22:00:00+00:00,23.1565,13.679999,0.0
London,2026-05-30 23:00:00+00:00,21.5065,13.679999,0.0
London,2026-05-31 00:00:00+00:00,20.2565,11.159999,0.0
London,2026-05-31 01:00:00+00:00,19.456501,11.159999,0.0
London,2026-05-31 02:00:00+00:00,17.9065,12.959999,0.0
London,2026-05-31 03:00:00+00:00,17.1065,13.679999,0.0
London,2026-05-31 04:00:00+00:00,16.206501,11.879999,0.0
London,2026-05-31 05:00:00+00:00,16.2565,11.879999,0.0
London,2026-05-31 06:00:00+00:00,16.956501,12.24,0.0
London,2026-05-31 07:00:00+00:00,17.6065,13.679999,0.0
London,2026-05-31 08:00:00+00:00,18.706501,14.04,0.0
London,2026-05-31 09:00:00+00:00,19.5065,14.04,0.0
London,2026-05-31 10:00:00+00:00,20.2565,13.679999,0.0
London,2026-05-31 11:00:00+00:00,20.956501,12.959999,0.0
London,2026-05-31 12:00:00+00:00,21.5065,14.759999,0.0
London,2026-05-31 13:00:00+00:00,22.456501,13.679999,0.0
London,2026-05-31 14:00:00+00:00,22.956501,14.4,0.0
London,2026-05-31 15:00:00+00:00,22.7565,13.679999,0.0
London,2026-05-31 16:00:00+00:00,22.5565,12.959999,0.0
London,2026-05-31 17:00:00+00:00,22.3065,12.24,0.0
London,2026-05-31 18:00:00+00:00,21.7565,11.879999,0.0
London,2026-05-31 19:00:00+00:00,21.3565,12.599999,0.0
London,2026-05-31 20:00:00+00:00,20.6065,14.4,0.0
London,2026-05-31 21:00:00+00:00,19.5565,14.759999,0.0
London,2026-05-31 22:00:00+00:00,18.6065,13.679999,0.0
London,2026-05-31 23:00:00+00:00,17.6065,13.679999,0.0
London,2026-06-01 00:00:00+00:00,16.6565,11.5199995,0.0
London,2026-06-01 01:00:00+00:00,15.856501,11.879999,0.0
London,2026-06-01 02:00:00+00:00,15.1565,10.08,0.0
London,2026-06-01 03:00:00+00:00,14.856501,9.72,0.0
London,2026-06-01 04:00:00+00:00,14.356501,8.64,0.0
London,2026-06-01 05:00:00+00:00,14.1565,5.7599998,0.0
London,2026-06-01 06:00:00+00:00,14.7565,6.8399997,0.0
London,2026-06-01 07:00:00+00:00,16.1065,10.440001,0.0
London,2026-06-01 08:00:00+00:00,17.3565,10.08,0.0
London,2026-06-01 09:00:00+00:00,18.4065,12.24,0.0
London,2026-06-01 10:00:00+00:00,19.8565,12.959999,0.0
London,2026-06-01 11:00:00+00:00,21.206501,12.24,0.0
London,2026-06-01 12:00:00+00:00,22.206501,13.679999,0.0
London,2026-06-01 13:00:00+00:00,23.0565,15.84,0.0
London,2026-06-01 14:00:00+00:00,22.5065,17.64,0.0
London,2026-06-01 15:00:00+00:00,21.2565,20.519999,0.0
London,2026-06-01 16:00:00+00:00,20.8065,16.919998,0.0
London,2026-06-01 17:00:00+00:00,20.2565,17.28,0.0
London,2026-06-01 18:00:00+00:00,19.1065,19.08,0.0
London,2026-06-01 19:00:00+00:00,18.0565,17.28,0.0
London,2026-06-01 20:00:00+00:00,17.1565,16.199999,0.8
London,2026-06-01 21:00:00+00:00,16.456501,13.679999,0.8
London,2026-06-01 22:00:00+00:00,16.5565,11.879999,0.4
London,2026-06-01 23:00:00+00:00,16.5065,12.599999,0.1
London,2026-06-02 00:00:00+00:00,16.1065,13.32,1.3
London,2026-06-02 01:00:00+00:00,15.5565,15.119999,3.3
London,2026-06-02 02:00:00+00:00,15.3065,11.879999,1.1
London,2026-06-02 03:00:00+00:00,15.4065,10.08,0.0
London,2026-06-02 04:00:00+00:00,15.106501,10.799999,0.3
London,2026-06-02 05:00:00+00:00,14.8065,10.08,2.8
London,2026-06-02 06:00:00+00:00,14.856501,8.28,3.2
